Fuel,Year,Share
Other fuels,2000,1.2
Other fuels,2001,0.9
Other fuels,2002,1.0
Other fuels,2003,1.0
Other fuels,2004,0.8
Other fuels,2005,0.9
Other fuels,2006,0.9
Other fuels,2007,0.9
Other fuels,2008,0.8
Other fuels,2009,0.9
Other fuels,2010,0.7
Other fuels,2011,0.8
Other fuels,2012,0.9
Other fuels,2013,1.0
Other fuels,2014,1.2
Other fuels,2015,1.4
Other fuels,2016,1.6
Other fuels,2017,1.5
Other fuels,2018,1.8
Other fuels,2019,2.3
Other fuels,2020,1.9
Other fuels,2021,1.9
Other fuels,2022,1.9
Other fuels,2023,2.2
Other fuels,2024,2.2
Energy storage,1996,0.4
Energy storage,1997,0.4
Energy storage,1998,0.5
Energy storage,1999,0.8
Energy storage,2000,0.7
Energy storage,2001,0.6
Energy storage,2002,0.7
Energy storage,2003,0.7
Energy storage,2004,0.7
Energy storage,2005,0.7
Energy storage,2006,1.0
Energy storage,2007,1.0
Energy storage,2008,1.1
Energy storage,2009,1.0
Energy storage,2010,0.8
Energy storage,2011,0.8
Energy storage,2012,0.8
Energy storage,2013,0.8
Energy storage,2014,0.9
Energy storage,2015,0.8
Energy storage,2016,0.9
Energy storage,2017,0.9
Energy storage,2018,0.8
Energy storage,2019,0.6
Energy storage,2020,0.5
Energy storage,2021,0.7
Energy storage,2022,0.7
Energy storage,2023,1.0
Energy storage,2024,1.4
